psme,X,Y
1,-121.847336,47.373161
1,-121.87788400000001,47.341774
1,-121.78344,47.430659999999996
1,-121.72232100000001,47.397053
1,-121.443428,47.271778
1,-121.51092499999999,47.21650300000001
1,-121.62038400000002,47.205662
1,-121.36676,47.181507
1,-121.726768,47.205109
1,-121.70954900000001,47.30677000000001
1,-121.69509700000002,47.181454
1,-121.630069,47.193851
1,-121.68977,47.196953
1,-121.48731,47.200983
1,-122.173164,46.865387
1,-121.773163,47.082882
1,-122.26538800000002,46.907050999999996
1,-121.944557,47.0676
1,-121.836998,47.134518
1,-121.96899399999998,47.120383999999994
1,-122.17511700000001,46.932327
1,-122.10066200000001,46.938442
1,-121.867599,47.12344
1,-122.03316499999998,46.87010600000001
1,-122.116501,46.793163
1,-122.11927,46.77594
1,-122.65456399999998,46.805664
1,-122.48511499999998,46.779827
1,-122.81234700000002,46.850097999999996
1,-122.292671,46.040482
1,-122.28537000000001,45.951225
1,-122.375374,45.92817300000001
1,-122.477325,45.930946
1,-122.42398799999998,45.895119
1,-122.283432,45.929279
1,-122.39370699999999,45.833453999999996
1,-122.265366,45.780396
1,-122.30148300000002,45.771225
1,-122.419815,45.730118000000004
1,-122.348701,45.693729
1,-122.303139,45.722065
1,-122.347054,46.352615
1,-122.64482099999998,46.219284
1,-122.39593500000001,46.286221
1,-122.375381,46.315109
1,-122.49593400000002,46.260948
1,-122.625389,46.344555
1,-122.42815399999999,46.132889
1,-122.57982600000001,46.132896
1,-122.606491,46.16539
1,-122.705933,46.077896
1,-122.56205,46.11872499999999
1,-122.44510700000001,46.096226
1,-122.375099,46.348999
1,-122.607597,46.071507
1,-122.57092999999999,46.025948
1,-122.538162,46.023163000000004
1,-122.49176,45.999817
1,-122.616211,45.965672000000005
1,-122.74761199999999,46.099003
1,-122.758438,46.021507
1,-122.35176800000002,46.163162
1,-122.71540100000001,46.71343999999999
1,-122.505112,46.732609
1,-122.38317100000002,46.71455000000001
1,-122.13344599999999,46.727058
1,-122.00322,46.740234
1,-122.06205,46.702332
1,-122.12927200000001,46.678997
1,-122.550949,46.64316600000001
1,-122.25511199999998,46.652889
1,-122.15799,46.65012699999999
1,-121.66758699999998,46.653168
1,-122.317879,46.55122
1,-122.12426799999999,46.524280999999995
1,-121.997589,46.512890000000006
1,-122.122597,46.454277
1,-122.443161,46.450393999999996
1,-122.277321,46.418442
1,-122.002594,46.451499999999996
1,-121.972595,46.430111
1,-122.386497,46.401505
1,-122.60121899999999,46.41205999999999
1,-122.025917,46.06039
1,-122.115364,46.031776
1,-121.90202300000001,45.734843999999995
1,-122.15953799999998,45.729008
1,-122.220642,45.694286
1,-122.079803,45.694561
1,-121.895912,45.703732
1,-121.860077,45.729282
1,-122.073975,45.64567600000001
1,-122.193146,45.64512299999999
1,-122.15036800000001,45.979561
1,-121.783681,47.376374
1,-121.43404900000002,47.270695
1,-121.793909,47.216418
1,-121.946422,47.077760000000005
1,-121.740165,47.048554
1,-122.19117300000002,46.960095
1,-121.60446399999998,47.107095
1,-121.90473499999999,46.759932000000006
1,-121.900314,46.91515
1,-122.252008,46.906813
1,-122.11539899999998,47.015893000000005
1,-121.551348,47.09969999999999
1,-121.900316,47.103396
1,-121.555305,46.955376
1,-122.765427,46.811613
1,-122.28587700000001,46.047217
1,-122.353876,45.954190000000004
1,-122.413396,45.894803
1,-122.81284900000001,46.195394
1,-122.46709699999998,46.21857899999999
1,-122.280547,46.169883000000006
1,-122.630701,46.14620300000001
1,-122.350497,46.34582900000001
1,-122.64958,46.240061
1,-122.720418,46.202971999999995
1,-122.413807,46.001369
1,-122.671518,46.19573
1,-122.60979400000001,45.995046
1,-122.368502,46.491762
1,-122.16952600000002,46.38813600000001
1,-121.858107,46.685686
1,-122.198729,46.56879599999999
1,-121.611083,46.61275
1,-121.49152299999999,46.658546
1,-121.92148400000002,46.709727
1,-122.083363,46.398293
1,-122.392703,46.665743000000006
1,-122.28816200000001,46.732735
1,-121.848945,46.424139
1,-122.05288700000001,46.701969
1,-121.857592,46.490543
1,-121.75249899999999,46.46098
1,-121.96261600000001,46.393573
1,-121.81963900000001,46.58582200000001
1,-121.752924,46.709878
1,-121.506243,46.411253
1,-121.68067600000002,46.559969
1,-121.642553,46.414998
1,-121.533836,46.630546
1,-121.71508,46.70865
1,-122.08095700000001,45.92696599999999
1,-121.966757,46.16435400000001
1,-121.79477899999999,46.17115
1,-121.835706,46.064369
1,-121.72442200000002,46.0454
1,-121.79403400000001,46.14539899999999
1,-122.10617800000001,46.245999
1,-121.58188499999999,46.302501
1,-121.578163,46.11783700000001
1,-122.22276300000001,45.875483
1,-121.907411,46.016744
1,-121.899948,46.21550299999999
1,-122.13848199999998,46.371811
1,-122.20296200000001,45.696585000000006
1,-122.00553800000002,46.337022
1,-121.864432,45.748489000000006
1,-121.65766999999998,46.238461
1,-122.071966,45.749743
1,-121.87227200000001,45.945644
1,-121.97159399999998,46.239567
1,-122.218453,46.093376
1,-122.08949200000002,46.098671
1,-121.907419,45.890183
1,-121.89802100000001,46.04578200000001
1,-121.853095,46.368123
1,-121.875471,45.801248
1,-121.931734,46.093578
1,-121.832191,46.288784
1,-122.146694,45.901555
1,-121.75635,46.28988
1,-121.931849,45.898983
1,-121.903404,46.31460200000001
1,-121.614063,46.2333
1,-122.018072,46.194312
1,-121.72042400000001,45.937924
1,-121.239364,47.14261400000001
1,-121.344645,47.118837
1,-121.35587700000002,46.77667
1,-121.346064,47.067846
1,-121.299665,47.045075
1,-121.571326,47.12987600000001
1,-121.715852,47.175463
1,-121.517483,47.152193000000004
1,-121.33886000000001,47.144778
1,-121.40266500000001,47.199875
1,-121.37663700000002,47.229473
1,-121.804118,47.322041
1,-121.97328099999999,47.107259
1,-122.052883,46.95662200000001
1,-121.924152,46.764235
1,-121.69817499999999,47.007829
1,-121.96212300000002,46.759668
1,-121.73691600000001,47.02498700000001
1,-122.03681299999998,46.81500700000001
1,-121.527464,47.005802
1,-121.48488799999998,47.074776
1,-122.235071,46.927011
1,-122.189518,46.77353600000001
1,-122.38162599999998,46.809282
1,-122.349906,45.80804499999999
1,-122.42714800000002,45.95382500000001
1,-122.42508000000001,46.092545
1,-122.45991,46.275821
1,-122.29149599999998,46.242624
1,-122.255392,46.15048
1,-121.966419,46.507526
1,-122.31121800000001,46.634269999999994
1,-121.78507200000001,46.40786
1,-122.50785799999998,46.433148
1,-122.531677,46.460652
1,-121.85525,46.712053
1,-121.45401000000001,46.676148
1,-121.64866700000002,46.441128
1,-121.497454,46.705016
1,-122.010566,46.68928100000001
1,-122.149,46.419277
1,-121.925458,46.489006
1,-121.608548,46.54028699999999
1,-122.544578,46.754082
1,-122.325034,46.663874
1,-121.71124200000001,46.53558
1,-121.568829,46.610786
1,-121.570662,46.482602
1,-121.45589800000002,46.655245
1,-122.10579700000001,46.443003
1,-121.750531,46.614933
1,-122.06956800000002,46.416058
1,-121.68114599999998,46.684733
1,-121.77034200000001,45.79322
1,-122.187293,45.871841999999994
1,-121.728499,45.770140000000005
1,-121.865597,46.024683
1,-121.61289400000001,46.217628000000005
1,-122.11906100000002,46.171913
1,-121.835256,45.845664
1,-121.79466700000002,46.11458100000001
1,-122.19045700000001,45.85164100000001
1,-121.974053,46.343403
1,-121.68292200000002,46.362438
1,-121.898918,46.191037
1,-121.653318,46.095634
