stnm,stid,name,city,rang,cdir,cnty,lat,lon,elev,cdiv,clas
67,MTHE,Mt Herman,Smithville,16,SW,McCurtain,34.31072,-94.82275,284,Southeast,STANDARD
68,NEWK,Newkirk,Newkirk,8,E,Kay,36.8981,-96.91035,366,North Central,STANDARD
123,NEWP,Newport,Ardmore,7,WNW,Carter,34.2281,-97.20142,283,South Central,STANDARD
109,NINN,Ninnekah,Ninnekah,2,NNW,Grady,34.96774,-97.95202,356,Central,STANDARD
69,NORM,Norman,Norman,3,NW,Cleveland,35.2556,-97.4836,360,Central,SUPER
70,NOWA,Nowata,Delaware,3,SE,Nowata,36.74374,-95.60795,206,Northeast,STANDARD
121,NRMN,Norman,Norman,2.1,NW,Cleveland,35.23611,-97.46488,357,Central,STANDARD
71,OILT,Oilton,Oilton,6,ESE,Creek,36.03126,-96.49749,255,Central,CONTINUITY
130,OKCE,Oklahoma City East,Oklahoma City,3,E,Oklahoma,35.47226,-97.46414,355,Central,STANDARD
128,OKCN,Oklahoma City North,Oklahoma City,6.1,N,Oklahoma,35.5556,-97.5107,362,Central,STANDARD
129,OKCW,Oklahoma City West,Oklahoma City,3.7,W,Oklahoma,35.47112,-97.58245,366,Central,STANDARD
72,OKEM,Okemah,Okemah,3,E,Okfuskee,35.43172,-96.26265,263,Central,STANDARD
73,OKMU,Okmulgee,Morris,3,SW,Okmulgee,35.58211,-95.91473,205,East Central,STANDARD
74,PAUL,Pauls Valley,Pauls Valley,1,SSW,Garvin,34.7155,-97.22924,291,South Central,STANDARD
75,PAWN,Pawnee,Pawnee,3,ENE,Pawnee,36.36114,-96.76986,283,Northeast,STANDARD
76,PERK,Perkins,Perkins,2,NNW,Payne,35.99865,-97.04831,292,Central,STANDARD
118,PORT,Porter,Clarksville,2.5,W,Wagoner,35.8257,-95.55976,193,Northeast,STANDARD
114,PRES,Preston,Preston,1,N,Okmulgee,35.7247,-95.9886,300,East Central,STANDARD
77,PRYO,Pryor,Adair,5,S,Mayes,36.36914,-95.27138,201,Northeast,STANDARD
78,PUTN,Putnam,Putnam,3,N,Dewey,35.89904,-98.96038,589,West Central,STANDARD
79,REDR,Red Rock,Red Rock,7,SSE,Noble,36.3559,-97.15306,293,North Central,STANDARD
80,RETR,Retrop,Willow,10,ENE,Washita,35.12275,-99.36001,538,West Central,STANDARD
81,RING,Ringling,Ringling,1,N,Jefferson,34.19365,-97.58812,283,South Central,STANDARD
82,SALL,Sallisaw,Sallisaw,2,SSW,Sequoyah,35.43815,-94.79805,157,East Central,STANDARD
83,SEIL,Seiling,Seiling,7,WNW,Woodward,36.19033,-99.0403,545,North Central,STANDARD
143,SEMI,Seminole,Seminole,4,SSW,Seminole,35.1766,-96.70028,292,Central,STANDARD
84,SHAW,Shawnee,Shawnee,3,NNW,Pottawatomie,35.36492,-96.94822,328,Central,STANDARD
85,SKIA,Skiatook,Skiatook,4,NW,Osage,36.4153,-96.03706,282,Northeast,STANDARD
86,SLAP,Slapout,Slapout,8,W,Beaver,36.59749,-100.26192,774,Panhandle,STANDARD
87,SPEN,Spencer,Spencer,2,ENE,Oklahoma,35.54208,-97.34146,373,Central,STANDARD
88,STIG,Stigler,Stigler,3,WNW,Haskell,35.26527,-95.18116,173,East Central,STANDARD
89,STIL,Stillwater,Stillwater,2,W,Payne,36.12093,-97.09527,272,Central,STANDARD
90,STUA,Stuart,Stuart,3,SE,Pittsburg,34.87642,-96.06982,256,East Central,STANDARD
91,SULP,Sulphur,Sulphur,4,NNE,Murray,34.5661,-96.95048,320,South Central,STANDARD
92,TAHL,Tahlequah,Tahlequah,4,N,Cherokee,35.97235,-94.98671,290,East Central,STANDARD
138,TALA,Talala,Talala,3.9,NW,Rogers,36.57431,-95.74515,228,Northeast,STANDARD
93,TALI,Talihina,Talihina,4,SE,LeFlore,34.7107,-95.01152,204,Southeast,CONTINUITY
94,TIPT,Tipton,Tipton,4,S,Tillman,34.43972,-99.13755,387,Southwest,STANDARD
95,TISH,Tishomingo,Tishomingo,6,N,Johnston,34.33262,-96.67895,268,South Central,STANDARD
96,TULL,Tullahassee,Tullahassee,2,ENE,Wagoner,35.8397,-95.4133,189,Northeast,STANDARD
137,TULN,Tulsa,Tulsa,4.2,NE,Tulsa,36.19666,-95.93883,209,Northeast,STANDARD
140,VALL,Valliant,Valliant,5,SSW,McCurtain,33.938606,-95.114913,120,Southeast,STANDARD
115,VANO,Vanoss,Vanoss,2.4,NE,Pontotoc,34.79146,-96.84381,320,South Central,STANDARD
97,VINI,Vinita,Centralia,7,E,Craig,36.77536,-95.22094,236,Northeast,STANDARD
136,WAL2,Walters,Walters,4,NW,Cotton,34.39957,-98.34569,323,Southwest,STANDARD
98,WALT,Walters,Walters,1,NW,Cotton,34.3647,-98.32025,308,Southwest,STANDARD
99,WASH,Washington,Washington,6,SSW,McClain,34.98224,-97.52109,345,Central,STANDARD
100,WATO,Watonga,Watonga,7,W,Blaine,35.84185,-98.52615,517,West Central,STANDARD
101,WAUR,Waurika,Waurika,0.5,ENE,Jefferson,34.16775,-97.98815,283,South Central,STANDARD
102,WEAT,Weatherford,Weatherford,4,WSW,Custer,35.5083,-98.77509,538,West Central,STANDARD
103,WEBB,Webbers Falls,Webbers Falls,3,S,Muskogee,35.47298,-95.13209,145,East Central,STANDARD
132,WEBR,Webbers Falls,Webbers Falls,1.5,S,Muskogee,35.489,-95.1233,145,East Central,STANDARD
104,WEST,Westville,Westville,5,WNW,Adair,36.011,-94.64496,348,East Central,STANDARD
105,WILB,Wilburton,Wilburton,2,SW,Latimer,34.90092,-95.34805,199,Southeast,STANDARD
106,WIST,Wister,Wister,3,ENE,LeFlore,34.98426,-94.68778,143,Southeast,STANDARD
107,WOOD,Woodward,Woodward,2,WSW,Woodward,36.42329,-99.41682,625,North Central,STANDARD
108,WYNO,Wynona,Wynona,2,S,Osage,36.51806,-96.34222,269,Northeast,STANDARD
142,YUKO,Yukon,Yukon,2,N,Canadian,35.55671,-97.75538,407,Central,STANDARD
