YEAR,STID,MONTH,DAY,TAVG,DATE,DATE1,DATE2,DATE3
2018,COOK,11,24,54.03,2018-11-24,2018-11-24,11-24-2018,"November 24, 2018"
2018,COOK,11,25,43.91,2018-11-25,2018-11-25,11-25-2018,"November 25, 2018"
2018,COOK,11,26,28.03,2018-11-26,2018-11-26,11-26-2018,"November 26, 2018"
2018,COOK,11,27,31.8,2018-11-27,2018-11-27,11-27-2018,"November 27, 2018"
2018,COOK,11,28,45.55,2018-11-28,2018-11-28,11-28-2018,"November 28, 2018"
2018,COOK,11,29,55.92,2018-11-29,2018-11-29,11-29-2018,"November 29, 2018"
2018,COOK,11,30,58.47,2018-11-30,2018-11-30,11-30-2018,"November 30, 2018"
2018,COOK,12,1,54.98,2018-12-01,2018-12-1,12-1-2018,"December 1, 2018"
2018,COOK,12,2,41.8,2018-12-02,2018-12-2,12-2-2018,"December 2, 2018"
2018,COOK,12,3,32.5,2018-12-03,2018-12-3,12-3-2018,"December 3, 2018"
2018,COOK,12,4,27.81,2018-12-04,2018-12-4,12-4-2018,"December 4, 2018"
2018,COOK,12,5,33.08,2018-12-05,2018-12-5,12-5-2018,"December 5, 2018"
2018,COOK,12,6,42.05,2018-12-06,2018-12-6,12-6-2018,"December 6, 2018"
2018,COOK,12,7,39.15,2018-12-07,2018-12-7,12-7-2018,"December 7, 2018"
2018,COOK,12,8,34.82,2018-12-08,2018-12-8,12-8-2018,"December 8, 2018"
2018,COOK,12,9,35,2018-12-09,2018-12-9,12-9-2018,"December 9, 2018"
2018,COOK,12,10,32.42,2018-12-10,2018-12-10,12-10-2018,"December 10, 2018"
2018,COOK,12,11,45.04,2018-12-11,2018-12-11,12-11-2018,"December 11, 2018"
2018,COOK,12,12,50.49,2018-12-12,2018-12-12,12-12-2018,"December 12, 2018"
2018,COOK,12,13,53.01,2018-12-13,2018-12-13,12-13-2018,"December 13, 2018"
2018,COOK,12,14,41.61,2018-12-14,2018-12-14,12-14-2018,"December 14, 2018"
2018,COOK,12,15,40.84,2018-12-15,2018-12-15,12-15-2018,"December 15, 2018"
2018,COOK,12,16,44.12,2018-12-16,2018-12-16,12-16-2018,"December 16, 2018"
2018,COOK,12,17,43.41,2018-12-17,2018-12-17,12-17-2018,"December 17, 2018"
2018,COOK,12,18,47.27,2018-12-18,2018-12-18,12-18-2018,"December 18, 2018"
2018,COOK,12,19,48.28,2018-12-19,2018-12-19,12-19-2018,"December 19, 2018"
2018,COOK,12,20,44.67,2018-12-20,2018-12-20,12-20-2018,"December 20, 2018"
2018,COOK,12,21,39.03,2018-12-21,2018-12-21,12-21-2018,"December 21, 2018"
2018,COOK,12,22,45.97,2018-12-22,2018-12-22,12-22-2018,"December 22, 2018"
2018,COOK,12,23,40.22,2018-12-23,2018-12-23,12-23-2018,"December 23, 2018"
2018,COOK,12,24,41.74,2018-12-24,2018-12-24,12-24-2018,"December 24, 2018"
2018,COOK,12,25,51.7,2018-12-25,2018-12-25,12-25-2018,"December 25, 2018"
2018,COOK,12,26,54.27,2018-12-26,2018-12-26,12-26-2018,"December 26, 2018"
2018,COOK,12,27,48.92,2018-12-27,2018-12-27,12-27-2018,"December 27, 2018"
2018,COOK,12,28,31.02,2018-12-28,2018-12-28,12-28-2018,"December 28, 2018"
2018,COOK,12,29,26.8,2018-12-29,2018-12-29,12-29-2018,"December 29, 2018"
2018,COOK,12,30,33.21,2018-12-30,2018-12-30,12-30-2018,"December 30, 2018"
2018,COOK,12,31,41.87,2018-12-31,2018-12-31,12-31-2018,"December 31, 2018"
